id,genres,name,release_time,directors,writers,starts
126,Adventure|Children's|Fantasy,"NeverEnding Story III, The (1994)","February 2, 1996 ",Peter MacDonald,Jeff Lieberman|Karin Howard|Michael Ende|Jeff Lieberman|Karin Howard|Michael Ende|Jeff Lieberman|Karin Howard|Michael Ende|Jeff Lieberman|Karin Howard|Michael Ende|Jeff Lieberman|Karin Howard|Michael Ende|Jeff Lieberman|Karin Howard|Michael Ende,Jason James Richter|Melody Kay|Jack Black|Jason James Richter|Melody Kay|Jack Black|Jason James Richter|Melody Kay|Jack Black|Jason James Richter|Melody Kay|Jack Black
127,Drama,"Silence of the Palace, The (Saimt el Qusur) (1994)",,,,
128,Documentary,Jupiter's Wife (1994),"September 8, 1995 ",Michel Negroponte,Gabriel Morgan|Michel Negroponte|Gabriel Morgan|Michel Negroponte|Gabriel Morgan|Michel Negroponte|Gabriel Morgan|Michel Negroponte|Gabriel Morgan|Michel Negroponte|Gabriel Morgan|Michel Negroponte,Maggie Cogan|Katina Pendleton|Maggie Cogan|Katina Pendleton|Maggie Cogan|Katina Pendleton|Maggie Cogan|Katina Pendleton
129,Comedy|Romance,Pie in the Sky (1995),9 February 1996 (USA),Bryan Gordon,Bryan Gordon,Josh Charles|Anne Heche|John Goodman
130,Drama,Angela (1995),"May 2, 2015 ",Rebecca Miller,Rebecca Miller|Rebecca Miller|Rebecca Miller,Miranda Rhyne|Charlotte Eve Blythe|Anna Thomson|Miranda Rhyne|Charlotte Eve Blythe|Anna Thomson|Miranda Rhyne|Charlotte Eve Blythe|Anna Thomson|Miranda Rhyne|Charlotte Eve Blythe|Anna Thomson
131,Drama|Romance,Frankie Starlight (1995),"November 22, 1995 ",Michael Lindsay-Hogg,Ronan O'Leary|Chet Raymo|Ronan O'Leary|Chet Raymo|Ronan O'Leary|Chet Raymo|Ronan O'Leary|Chet Raymo|Ronan O'Leary|Chet Raymo|Ronan O'Leary|Chet Raymo,Matt Dillon|Anne Parillaud|Gabriel Byrne|Matt Dillon|Anne Parillaud|Gabriel Byrne|Matt Dillon|Anne Parillaud|Gabriel Byrne|Matt Dillon|Anne Parillaud|Gabriel Byrne
132,Thriller,Jade (1995),13 October 1995 (USA),William Friedkin,Joe Eszterhas,David Caruso|Linda Fiorentino|Chazz Palminteri
133,Comedy|Drama,Nueba Yol (1995),"August 16, 1995 ",Ángel Muñiz,Ángel Muñiz|Ángel Muñiz|Ángel Muñiz,Luisito Martí|Caridad Ravelo|Raúl Carbonell|Luisito Martí|Caridad Ravelo|Raúl Carbonell|Luisito Martí|Caridad Ravelo|Raúl Carbonell|Luisito Martí|Caridad Ravelo|Raúl Carbonell
134,Documentary,Sonic Outlaws (1995),"July 14, 1995 ",Craig Baldwin,,Lloyd Dunn|Chris Grigg|Mark Hosler|Lloyd Dunn|Chris Grigg|Mark Hosler|Lloyd Dunn|Chris Grigg|Mark Hosler|Lloyd Dunn|Chris Grigg|Mark Hosler
135,Comedy,Down Periscope (1996),1 March 1996 (USA),David S. Ward,Hugh Wilson|Andrew Kurtzman,Kelsey Grammer|Lauren Holly|Rob Schneider
136,Documentary,From the Journals of Jean Seberg (1995),"March 1, 1996 ",Mark Rappaport,Mark Rappaport|Mark Rappaport|Mark Rappaport,Mary Beth Hurt|Jean Seberg|Mary Beth Hurt|Jean Seberg|Mary Beth Hurt|Jean Seberg|Mary Beth Hurt|Jean Seberg
137,Documentary,Man of the Year (1995),15 March 1996 (USA),Dirk Shafer,Dirk Shafer,Vivian Paxton|Claudette Sutherland|Michael Ornstein
138,Drama,"Neon Bible, The (1995)","March 1, 1996 ",Terence Davies,Terence Davies|John Schulte|John Kennedy Toole|Terence Davies|John Schulte|John Kennedy Toole|Terence Davies|John Schulte|John Kennedy Toole|Terence Davies|John Schulte|John Kennedy Toole|Terence Davies|John Schulte|John Kennedy Toole|Terence Davies|John Schulte|John Kennedy Toole,Jacob Tierney|Drake Bell|Gena Rowlands|Jacob Tierney|Drake Bell|Gena Rowlands|Jacob Tierney|Drake Bell|Gena Rowlands|Jacob Tierney|Drake Bell|Gena Rowlands
139,Action|Drama,Target (1995),"November 6, 1995 ",Damian Lee,Mark Sevi|Kevin McCarthy|Mark Sevi|Kevin McCarthy|Mark Sevi|Kevin McCarthy|Mark Sevi|Kevin McCarthy|Mark Sevi|Kevin McCarthy|Mark Sevi|Kevin McCarthy,Michael Dudikoff|Ardon Bess|Michelle Johnson|Michael Dudikoff|Ardon Bess|Michelle Johnson|Michael Dudikoff|Ardon Bess|Michelle Johnson|Michael Dudikoff|Ardon Bess|Michelle Johnson
140,Drama|Romance,Up Close and Personal (1996),"March 1, 1996 ",Jon Avnet,Joan Didion|John Gregory Dunne|Alanna Nash|Joan Didion|John Gregory Dunne|Alanna Nash|Joan Didion|John Gregory Dunne|Alanna Nash|Joan Didion|John Gregory Dunne|Alanna Nash|Joan Didion|John Gregory Dunne|Alanna Nash|Joan Didion|John Gregory Dunne|Alanna Nash,Robert Redford|Michelle Pfeiffer|Stockard Channing|Robert Redford|Michelle Pfeiffer|Stockard Channing|Robert Redford|Michelle Pfeiffer|Stockard Channing|Robert Redford|Michelle Pfeiffer|Stockard Channing
141,Comedy,"Birdcage, The (1996)",8 March 1996 (USA),Mike Nichols,Jean Poiret|Francis Veber,Robin Williams|Nathan Lane|Gene Hackman
142,Drama,Shadows (Cienie) (1988),"November 17, 2011 ",Aleksey Sidorov,Egor Golovenkin|Aleksey Sidorov|Egor Golovenkin|Aleksey Sidorov|Egor Golovenkin|Aleksey Sidorov|Egor Golovenkin|Aleksey Sidorov|Egor Golovenkin|Aleksey Sidorov|Egor Golovenkin|Aleksey Sidorov,Stephen Au|Olga Dibtseva|Michael Gor|Stephen Au|Olga Dibtseva|Michael Gor|Stephen Au|Olga Dibtseva|Michael Gor|Stephen Au|Olga Dibtseva|Michael Gor
143,Drama,Gospa (1995),"October 13, 1995 ",Jakov Sedlar,Ivan Aralica|Paul Gronseth|Barry Morrow|Ivan Aralica|Paul Gronseth|Barry Morrow|Ivan Aralica|Paul Gronseth|Barry Morrow|Ivan Aralica|Paul Gronseth|Barry Morrow|Ivan Aralica|Paul Gronseth|Barry Morrow|Ivan Aralica|Paul Gronseth|Barry Morrow,Martin Sheen|Michael York|Morgan Fairchild|Martin Sheen|Michael York|Morgan Fairchild|Martin Sheen|Michael York|Morgan Fairchild|Martin Sheen|Michael York|Morgan Fairchild
144,Comedy,"Brothers McMullen, The (1995)",11 August 1995 (USA),Edward Burns,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns
145,Action,Bad Boys (1995),7 April 1995 (USA),Michael Bay,George Gallo|Michael Barrie,Will Smith|Martin Lawrence|Lisa Boyle
146,Adventure|Children's,"Amazing Panda Adventure, The (1995)",25 August 1995 (USA),Christopher Cain,John Wilcox|Steven Alldredge,Stephen Lang|Ryan Slater|Yi Ding
147,Drama,"Basketball Diaries, The (1995)",21 April 1995 (USA),Scott Kalvert,Jim Carroll,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol
148,Drama,"Awfully Big Adventure, An (1995)",7 April 1995 (UK),Mike Newell,Beryl Bainbridge,Hugh Grant|Alan Rickman|Georgina Cates
149,Crime|Drama|Thriller,Amateur (1994),19 October 1994 (France),Hal Hartley,Hal Hartley,Isabelle Huppert|Martin Donovan|Elina Löwensohn
150,Drama,Apollo 13 (1995),30 June 1995 (USA),Ron Howard,Jim Lovell|Jeffrey Kluger,Tom Hanks|Bill Paxton|Kevin Bacon
151,Drama|Romance|War,Rob Roy (1995),19 May 1995 (UK),Michael Caton-Jones,Alan Sharp,Liam Neeson|Jessica Lange|John Hurt
152,Horror,"Addiction, The (1995)",6 October 1995 (USA),Abel Ferrara,Nicholas St. John,Lili Taylor|Christopher Walken|Annabella Sciorra
153,Action|Adventure|Comedy|Crime,Batman Forever (1995),16 June 1995 (USA),Joel Schumacher,Bob Kane|Lee Batchler,Val Kilmer|Tommy Lee Jones|Jim Carrey
154,Drama,Belle de jour (1967),24 May 1967 (France),Luis Buñuel,Joseph Kessel|Luis Buñuel,Catherine Deneuve|Jean Sorel|Michel Piccoli
155,Drama|War,Beyond Rangoon (1995),30 June 1995 (UK),John Boorman,Alex Lasker,Patricia Arquette|U Aung Ko|Frances McDormand
156,Comedy,Blue in the Face (1995),13 October 1995 (USA),Paul Auster|Wayne Wang|1 more credit,Paul Auster,Harvey Keitel|Lou Reed|Michael J. Fox
157,Comedy|War,Canadian Bacon (1994),"September 22, 1995 ",Michael Moore,Michael Moore|Michael Moore|Michael Moore,John Candy|Alan Alda|Rhea Perlman|John Candy|Alan Alda|Rhea Perlman|John Candy|Alan Alda|Rhea Perlman|John Candy|Alan Alda|Rhea Perlman
158,Adventure|Children's,Casper (1995),19 June 1995 (China),Brad Silberling,Joseph Oriolo|Sherri Stoner,Bill Pullman|Christina Ricci|Cathy Moriarty
159,Drama,Clockers (1995),13 September 1995 (USA),Spike Lee,Richard Price|Richard Price,Harvey Keitel|John Turturro|Delroy Lindo
160,Action|Adventure|Mystery|Sci-Fi,Congo (1995),9 June 1995 (USA),Frank Marshall,Michael Crichton,Laura Linney|Tim Curry|Dylan Walsh
161,Drama|Thriller|War,Crimson Tide (1995),12 May 1995 (USA),Tony Scott,Michael Schiffer|Richard P. Henrick,Gene Hackman|Denzel Washington|Matt Craven
162,Documentary,Crumb (1994),28 April 1995 (USA),Terry Zwigoff,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb,Aline Kominsky-Crumb|Robert Crumb|Charles Crumb
163,Action|Romance|Thriller,Desperado (1995),25 August 1995 (USA),Robert Rodriguez,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida
164,Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress (1995),29 September 1995 (USA),Carl Franklin,Walter Mosley,Denzel Washington|Tom Sizemore|Jennifer Beals
165,Action|Thriller,Die Hard: With a Vengeance (1995),19 May 1995 (USA),John McTiernan,Jonathan Hensleigh,Bruce Willis|Jeremy Irons|Samuel L. Jackson
166,Comedy|Drama,"Doom Generation, The (1995)",27 October 1995 (USA),Gregg Araki,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech
167,Drama,Feast of July (1995),"October 13, 1995 ",Christopher Menaul,H.E. Bates|Christopher Neame|H.E. Bates|Christopher Neame|H.E. Bates|Christopher Neame|H.E. Bates|Christopher Neame|H.E. Bates|Christopher Neame|H.E. Bates|Christopher Neame,Embeth Davidtz|Tom Bell|Gemma Jones|Embeth Davidtz|Tom Bell|Gemma Jones|Embeth Davidtz|Tom Bell|Gemma Jones|Embeth Davidtz|Tom Bell|Gemma Jones
168,Action|Adventure|Drama|Romance,First Knight (1995),7 July 1995 (USA),Jerry Zucker,Lorne Cameron|David Hoselton,Sean Connery|Richard Gere|Julia Ormond
169,Adventure|Children's|Drama,Free Willy 2: The Adventure Home (1995),19 July 1995 (USA),Dwight H. Little,Keith Walker|Karen Janszen,Jason James Richter|Michael Madsen|Francis Capra
170,Action|Crime|Thriller,Hackers (1995),15 September 1995 (USA),Iain Softley,Rafael Moreu,Jonny Lee Miller|Angelina Jolie|Jesse Bradford
171,Comedy,Jeffrey (1995),18 August 1995 (USA),Christopher Ashley,Paul Rudnick,Steven Weber|Michael T. Weiss|Peter Jacobson
172,Action|Sci-Fi|Thriller,Johnny Mnemonic (1995),26 May 1995 (USA),Robert Longo,William Gibson,Keanu Reeves|Dolph Lundgren|Dina Meyer
173,Action|Adventure|Sci-Fi,Judge Dredd (1995),30 June 1995 (USA),Danny Cannon,John Wagner|Carlos Ezquerra,Sylvester Stallone|Armand Assante|Rob Schneider
174,Comedy,Jury Duty (1995),12 April 1995 (USA),John Fortenberry,Barbara Williams|Samantha Adams,Pauly Shore|Tia Carrere|Stanley Tucci
175,Drama,Kids (1995),1 September 1995 (USA),Larry Clark,Harmony Korine|Larry Clark,Leo Fitzpatrick|Justin Pierce|Chloë Sevigny
176,Comedy,Living in Oblivion (1995),21 July 1995 (USA),Tom DiCillo,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney
177,Horror,Lord of Illusions (1995),25 August 1995 (USA),Clive Barker,Clive Barker,Scott Bakula|Kevin J. O'Connor|J. Trevor Edmond
178,Comedy,Love & Human Remains (1993),22 July 1994 (UK),Denys Arcand,Brad Fraser,Thomas Gibson|Ruth Marshall|Cameron Bancroft
179,Drama|Romance,Mad Love (1995),26 May 1995 (USA),Antonia Bird,Paula Milne,Chris O'Donnell|Drew Barrymore|Matthew Lillard
180,Comedy,Mallrats (1995),20 October 1995 (USA),Kevin Smith,Kevin Smith,Shannen Doherty|Jeremy London|Jason Lee
181,Action|Children's,Mighty Morphin Power Rangers: The Movie (1995),30 June 1995 (USA),Bryan Spicer,John Kamps|Arne Olsen,Karan Ashley|Johnny Yong Bosch|Steve Cardenas
182,Drama|Romance,Moonlight and Valentino (1995),"September 29, 1995 ",David Anspaugh,Ellen Simon|Ellen Simon|Ellen Simon,Elizabeth Perkins|Whoopi Goldberg|Kathleen Turner|Elizabeth Perkins|Whoopi Goldberg|Kathleen Turner|Elizabeth Perkins|Whoopi Goldberg|Kathleen Turner|Elizabeth Perkins|Whoopi Goldberg|Kathleen Turner
183,Thriller,Mute Witness (1994),"September 15, 1995 ",Anthony Waller,Anthony Waller|Anthony Waller|Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards|Marina Zudina|Fay Ripley|Evan Richards|Marina Zudina|Fay Ripley|Evan Richards|Marina Zudina|Fay Ripley|Evan Richards
184,Drama,Nadja (1994),1 September 1995 (USA),Michael Almereyda,Michael Almereyda,Elina Löwensohn|Peter Fonda|Nic Ratner
185,Sci-Fi|Thriller,"Net, The (1995)",28 July 1995 (USA),Irwin Winkler,John Brancato,Sandra Bullock|Jeremy Northam|Dennis Miller
186,Comedy,Nine Months (1995),12 July 1995 (USA),Chris Columbus,Patrick Braoudé,Hugh Grant|Julianne Moore|Tom Arnold
187,Comedy,Party Girl (1995),9 June 1995 (USA),Daisy von Scherler Mayer,Harry Birckmayer|Harry Birckmayer,Parker Posey|Omar Townsend|Anthony DeSando
188,Horror,"Prophecy, The (1995)",1 September 1995 (USA),Gregory Widen,Gregory Widen,Christopher Walken|Elias Koteas|Virginia Madsen
189,Comedy,Reckless (1995),17 November 1995 (USA),Norman René,Craig Lucas,Mia Farrow|Tony Goldwyn|Juana Barrios
190,Thriller,Safe (1995),30 June 1995 (USA),Todd Haynes,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris
191,Drama,"Scarlet Letter, The (1995)",13 October 1995 (USA),Roland Joffé,Nathaniel Hawthorne,Demi Moore|Gary Oldman|Robert Duvall
192,Documentary,"Show, The (1995)","September 13, 1995 ",,,Drew Carey|Diedrich Bader|Kathy Kinney|Drew Carey|Diedrich Bader|Kathy Kinney|Drew Carey|Diedrich Bader|Kathy Kinney|Drew Carey|Diedrich Bader|Kathy Kinney
193,Drama,Showgirls (1995),22 September 1995 (USA),Paul Verhoeven,Joe Eszterhas,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon
194,Drama,Smoke (1995),9 June 1995 (USA),Wayne Wang,Paul Auster,Harvey Keitel|William Hurt|Giancarlo Esposito
195,Comedy|Drama|Romance,Something to Talk About (1995),4 August 1995 (USA),Lasse Hallström,Callie Khouri,Julia Roberts|Dennis Quaid|Robert Duvall
196,Horror|Sci-Fi,Species (1995),7 July 1995 (USA),Roger Donaldson,Dennis Feldman,Natasha Henstridge|Michael Madsen|Ben Kingsley
197,Drama,"Stars Fell on Henrietta, The (1995)","September 15, 1995 ",James Keach,Philip Railsback|Philip Railsback|Philip Railsback,Robert Duvall|Aidan Quinn|Frances Fisher|Robert Duvall|Aidan Quinn|Frances Fisher|Robert Duvall|Aidan Quinn|Frances Fisher|Robert Duvall|Aidan Quinn|Frances Fisher
198,Action|Crime|Sci-Fi,Strange Days (1995),13 October 1995 (USA),Kathryn Bigelow,James Cameron|James Cameron,Ralph Fiennes|Angela Bassett|Juliette Lewis
199,Drama|Musical,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","December 16, 1964 ",Jacques Demy,Jacques Demy|Jacques Demy|Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon|Catherine Deneuve|Nino Castelnuovo|Anne Vernon|Catherine Deneuve|Nino Castelnuovo|Anne Vernon|Catherine Deneuve|Nino Castelnuovo|Anne Vernon
200,Thriller,"Tie That Binds, The (1995)","September 8, 1995 ",Wesley Strick,Michael Auerbach|Michael Auerbach|Michael Auerbach,Daryl Hannah|Keith Carradine|Moira Kelly|Daryl Hannah|Keith Carradine|Moira Kelly|Daryl Hannah|Keith Carradine|Moira Kelly|Daryl Hannah|Keith Carradine|Moira Kelly
201,Drama,Three Wishes (1995),27 October 1995 (USA),Martha Coolidge,Clifford Green|Ellen Green,Patrick Swayze|Mary Elizabeth Mastrantonio|Joseph Mazzello
202,Drama|Romance,Total Eclipse (1995),12 February 1997 (France),Agnieszka Holland,Christopher Hampton,Leonardo DiCaprio|David Thewlis|Romane Bohringer
203,Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","September 8, 1995 ",Beeban Kidron,Douglas Carter Beane|Douglas Carter Beane|Douglas Carter Beane,Wesley Snipes|Patrick Swayze|John Leguizamo|Wesley Snipes|Patrick Swayze|John Leguizamo|Wesley Snipes|Patrick Swayze|John Leguizamo|Wesley Snipes|Patrick Swayze|John Leguizamo
204,Action,Under Siege 2: Dark Territory (1995),14 July 1995 (USA),Geoff Murphy,Richard Hatem|Matt Reeves,Steven Seagal|Eric Bogosian|Everett McGill
205,Comedy|Drama,Unstrung Heroes (1995),22 September 1995 (USA),Diane Keaton,Franz Lidz,Andie MacDowell|John Turturro|Michael Richards
206,Documentary,Unzipped (1995),11 August 1995 (USA),Douglas Keeve,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard,Sandra Bernhard|Isaac Mizrahi|Roseanne Barr
207,Drama|Romance,"Walk in the Clouds, A (1995)",11 August 1995 (USA),Alfonso Arau,Robert Mark Kamen|Mark Miller,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn
208,Action|Adventure,Waterworld (1995),28 July 1995 (USA),Kevin Reynolds,Peter Rader,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper
209,Drama,White Man's Burden (1995),1 December 1995 (USA),Desmond Nakano,Desmond Nakano,John Travolta|Harry Belafonte|Kelly Lynch
210,Western,Wild Bill (1995),1 December 1995 (USA),Walter Hill,Peter Dexter|Thomas Babe,Jeff Bridges|Ellen Barkin|John Hurt
211,Drama,"Browning Version, The (1994)",28 October 1994 (UK),Mike Figgis,Terence Rattigan,Albert Finney|Greta Scacchi|Matthew Modine
212,Comedy,Bushwhacked (1995),4 August 1995 (USA),Greg Beeman,John Jordan|Danny Byers,Daniel Stern|Jon Polito|Brad Sullivan
213,Drama,Burnt By the Sun (Utomlyonnye solntsem) (1994),"April 21, 1995 ",Nikita Mikhalkov,Nikita Mikhalkov|Rustam Ibragimbekov|Nikita Mikhalkov|Rustam Ibragimbekov|Nikita Mikhalkov|Rustam Ibragimbekov|Nikita Mikhalkov|Rustam Ibragimbekov|Nikita Mikhalkov|Rustam Ibragimbekov|Nikita Mikhalkov|Rustam Ibragimbekov,Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov|Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov|Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov|Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov
214,Drama,Before the Rain (Pred dozhdot) (1994),"February 24, 1995 ",Milcho Manchevski,Milcho Manchevski|Milcho Manchevski|Milcho Manchevski,Katrin Cartlidge|Rade Serbedzija|Grégoire Colin|Katrin Cartlidge|Rade Serbedzija|Grégoire Colin|Katrin Cartlidge|Rade Serbedzija|Grégoire Colin|Katrin Cartlidge|Rade Serbedzija|Grégoire Colin
215,Drama|Romance,Before Sunrise (1995),27 January 1995 (USA),Richard Linklater,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert
216,Comedy,Billy Madison (1995),10 February 1995 (USA),Tamra Davis,Tim Herlihy,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras
217,Drama|Thriller,"Babysitter, The (1995)",17 October 1995 (USA),Guy Ferland,Robert Coover,Alicia Silverstone|Jeremy London|J.T. Walsh
218,Comedy|Drama,Boys on the Side (1995),3 February 1995 (USA),Herbert Ross,Don Roos,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore
219,Drama,"Cure, The (1995)",21 April 1995 (USA),Peter Horton,Robert Kuhn,Joseph Mazzello|Brad Renfro|Aeryk Egan
220,Horror,Castle Freak (1995),Video 14 November 1995,Stuart Gordon,Stuart Gordon|H.P. Lovecraft,Jeffrey Combs|Barbara Crampton|Jonathan Fuller
222,Drama|Romance,Circle of Friends (1995),7 April 1995 (USA),Pat O'Connor,Andrew Davies,Chris O'Donnell|Minnie Driver|Geraldine O'Rawe
223,Comedy,Clerks (1994),9 November 1994 (France),Kevin Smith,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti
224,Comedy|Drama|Romance,Don Juan DeMarco (1995),"April 7, 1995 ",Jeremy Leven,Lord Byron|Jeremy Leven|Lord Byron|Jeremy Leven|Lord Byron|Jeremy Leven|Lord Byron|Jeremy Leven|Lord Byron|Jeremy Leven|Lord Byron|Jeremy Leven,Johnny Depp|Marlon Brando|Faye Dunaway|Johnny Depp|Marlon Brando|Faye Dunaway|Johnny Depp|Marlon Brando|Faye Dunaway|Johnny Depp|Marlon Brando|Faye Dunaway
225,Drama|Thriller,Disclosure (1994),9 December 1994 (USA),Barry Levinson,Michael Crichton,Michael Douglas|Demi Moore|Donald Sutherland
226,Thriller,Dream Man (1995),"June 19, 1995 ",René Bonnière,Michael Alexander Miller|Michael Alexander Miller|Michael Alexander Miller,Patsy Kensit|Bruce Greenwood|Andrew McCarthy|Patsy Kensit|Bruce Greenwood|Andrew McCarthy|Patsy Kensit|Bruce Greenwood|Andrew McCarthy|Patsy Kensit|Bruce Greenwood|Andrew McCarthy
227,Action,Drop Zone (1994),9 December 1994 (USA),John Badham,Tony Griffin|Guy Manos,Wesley Snipes|Gary Busey|Yancy Butler
228,Comedy,Destiny Turns on the Radio (1995),28 April 1995 (USA),Jack Baran,Robert Ramsey,Dylan McDermott|Nancy Travis|Quentin Tarantino
229,Drama|Thriller,Death and the Maiden (1994),29 March 1995 (France),Roman Polanski,Ariel Dorfman|Rafael Yglesias,Sigourney Weaver|Ben Kingsley|Stuart Wilson
230,Drama|Thriller,Dolores Claiborne (1994),"March 24, 1995 ",Taylor Hackford,Stephen King|Tony Gilroy|Stephen King|Tony Gilroy|Stephen King|Tony Gilroy|Stephen King|Tony Gilroy|Stephen King|Tony Gilroy|Stephen King|Tony Gilroy,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer|Kathy Bates|Jennifer Jason Leigh|Christopher Plummer|Kathy Bates|Jennifer Jason Leigh|Christopher Plummer|Kathy Bates|Jennifer Jason Leigh|Christopher Plummer
231,Comedy,Dumb & Dumber (1994),"December 16, 1994 ",Peter Farrelly|Bobby Farrelly,Peter Farrelly|Bennett Yellin|Bobby Farrelly|Peter Farrelly|Bennett Yellin|Bobby Farrelly|Peter Farrelly|Bennett Yellin|Bobby Farrelly|Peter Farrelly|Bennett Yellin|Bobby Farrelly|Peter Farrelly|Bennett Yellin|Bobby Farrelly|Peter Farrelly|Bennett Yellin|Bobby Farrelly,Jim Carrey|Jeff Daniels|Lauren Holly|Jim Carrey|Jeff Daniels|Lauren Holly|Jim Carrey|Jeff Daniels|Lauren Holly|Jim Carrey|Jeff Daniels|Lauren Holly
232,Comedy|Drama,Eat Drink Man Woman (1994),"August 3, 1994 ",Ang Lee,Ang Lee|James Schamus|Hui-Ling Wang|Ang Lee|James Schamus|Hui-Ling Wang|Ang Lee|James Schamus|Hui-Ling Wang|Ang Lee|James Schamus|Hui-Ling Wang|Ang Lee|James Schamus|Hui-Ling Wang|Ang Lee|James Schamus|Hui-Ling Wang,Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang|Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang|Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang|Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang
233,Drama,Exotica (1994),21 October 1994 (Sweden),Atom Egoyan,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar
234,Comedy,Exit to Eden (1994),14 October 1994 (USA),Garry Marshall,Anne Rice|Deborah Amelon,Dana Delany|Dan Aykroyd|Rosie O'Donnell
